a,an 任一
abandon 放弃
ability 能力
able 有能力的
aboard 在船上
about 关于
above 高于
abroad 在国外
absence 缺乏，没有
absent 不在的,缺席的
absolute 完全的,绝对的
absorb 吸收
abstract 抽象的，摘要
abuse 滥用辱骂
academic 学院的,学术的
accent 口音，腔调重音
accept 同意,承认
acceptable 可接受的
access 接近进入
accident 事故，意外的事
accompany 伴随,陪同
accomplish 完成
according 按照,根据
account 账,账户
accuracy 准确(性),精确
accurate 准确的,精确的
accuse 控告,谴责
ache 痛,疼痛
achieve 完成
achievement 完成,达到
acid 酸的
acquire 取得,获得
across 横过,穿过
act 行动,做事
action 行动,行为,活动
active 积极的,活跃的
activity 活动，活性,活力
actor 男演员
actress 女演员
actual 实际的,现实的
 D.(AnnoDomini)公元
Adapt 适应
add 加,增加
addition 加,加法
additional 附加的,另外的,
address 地址
adequate 足够的,充分的
adjective 形容词
adjust 调整,调节,校正
administration 管理,经营
admire 钦佩,赞美
admission 准许进入
admit 让…进入承认
adopt 采用,采纳
adult 成年人的
advance 前进,进展
advanced 高级的,先进的
advantage 优点,长处
adventure 冒险奇遇
adverb 副词
advertisement 广告
advice 劝告,意见
advise 劝告,建议
affair 事情,事件
affect 影响感动
afford 担负得起
afraid 怕,害怕
Africa 非洲
African 非洲的
after 在…以后
afternoon 下午,午后
afterward(s) 后来,以后
again 又,再
against 逆,对着,反对
age 年龄，时期,时代
agency 代理行,经销处
agent 代理,经纪人
ago 以前
agree 同意,赞成
agreement 同意,一致
ahead 向前,提前
aid 援助,帮助
ALDS 艾滋病
aim 瞄准,目标,目的
air 空气,大气
aircraft 航空器，飞机
airline 航空公司
airplane 飞机
airport 机场，航空港
alarm 警报
alike 相同的,想像的
alive 活着的
all 所有的,全部的
allow 允许,准许
almost 几乎,差不多
alone 单独地,独自
along 沿着
aloud 高声地,大声地
alphabet 字母表
already 已经
also 也,同样
alter 放弃抛弃
although 尽管,虽然
altogether 完全,全部地
alumin(i)um 铝
always 永远,始终
a.m. 上午
amaze 使惊奇,使惊愕
ambulance 救护车
America 美洲美国
American 美洲的,美国的
among 在……中间
amount 数量,总额
amuse 逗……笑,娱乐
analysis 分析,分解
analyze(-yse) 分析,分解
ancient 古代的,古老的
and 和,与那么
anger 怒,愤怒
angle 角落角度,
angry 发怒,愤怒的
animal 动物,牲畜
ankle 踝
announce 宣布,发表
annoy 使烦恼,打搅
annual 每年的,年度的
another 再一,另一
answer 回答,答复
ant 蚁
anxious 忧虑的,焦急的
any 什么,一些
anybody 任何人
anyhow 不管怎样,无论如何
anyone =anynbody
anything 什么事
anyway =anyhow
anywhere 任何地方,无论哪里
apart 除去,撇开
aprtment 房间,套间
apologize(ise) 道歉,认错
apology 道歉,认错
apparent 明显的,显而易见的
appeal 呼吁,要求，吸引力
appear 出现,显露
appearance 出现,显露
appetite 食欲,胃口
apple 苹果
application 请求,申请
apply 申请,请求
appoint 任命,委派
appointment 约会,预约
appreciate 感谢,感激
approach 靠近,接近
appropriate 适当的
approve 赞成,满意
approximately 近似地,大约
April 四月
area 面积，地区,区域
argue 争论，辩论
argument 争论,辩论
arise 出现,发生
arithmetic 算术
arm 臂，武器,军火
army 军队,陆军
around 在周围,在附近
arrange 整理,排列,布置
arrest 逮捕,拘捕
arrival 到来,到达
arrive 到,来到期
arrow 箭，箭头符号
art 艺术,美术
article 文章,论文
artist 艺术家,美术家
as 作为,如同
ash 灰,灰烬
ashamed 羞耻的,惭愧的
Asia 亚洲
Asian 亚洲的,亚洲人的
aside 在旁边,到旁边
ask 询问邀请
asleep 睡着的,睡熟的
aspect 样子,外表,面貌
assembly 集合集会
assist 援助,帮助
assistance 援助,帮助
assistant 助手,助教
associate 合作人,同事
association 协会,社团组织
assume 假定,设想
assure 采取,呈现
astonish 使惊讶
astronaut 宇航员
at 在……时
athlete 运动员,体育家
Atlantic 大西洋的
Atmosphere 大气,大气层
atom 原子
attach 缚上,系上,贴上
attack 攻击,着手,开始
attain 达到,获得
attempt 尝试,试图
attend 出席人,参加
attention 注意,留心
attitude 态度,看法
attract 吸引有吸引力
attractive 有吸引力的
audience 听众,观众,读者
August 八月
aunt 姨母
Australia 澳大利亚
author 作者
authority 权威官方
automatic 自动机械
automobile(auto） 汽车
autumn 秋,秋季
available 可用的,可得到的
avenue 林阴道,大街
average 平均数
avoid 避免,回避
awake 醒,觉醒
award 授予,给予
aware 意识到的,知道的
away 离,离开
awful 可怕的,令人敬畏的
awfully 非常,很
ax(e) 斧
baby 婴儿
back 背,背面,后面
background 背景
backward 向后向后的
bacteria 细菌
bad 坏的,恶的
badly 坏,恶劣地
bag 行李
baggage 行李
bake 烤,烘,焙
balance (使)平衡
ball 球,球状物
balloon 气球
ban 取缔,查禁
banana 香蕉
band 带,箍带
bank 岸,堤
bar 酒吧间阻挡,拦住
barber 理发师
bare 赤裸的,无遮蔽的
bargain 议价,成交
barrel 桶
barrier 栅栏,屏障
base 基础,底部
basic 基本的,基础的
basin 盆,脸盆
basis 基础,根据
basket 篮,篓
bat 篮球
bath 浴,洗澡
bathe 游泳,洗澡
bathroom 浴室
battery 电池(组)
battle 战役,战斗,斗争
bay 海湾,湾
be 是在,存在
beach 海滩,湖滩,河滩
beam 梁,桁条
bean 豆,蚕豆
bear 负担,负荷,承担
beard 胡须
beast 家畜凶残的人
beat 打,敲
beautiful 美的,美好的
beauty 美,美丽
because 因为
become 成为,变得
bed 床
bee 蜂
beef 牛肉
beer 啤酒
before 在……以前
beg 乞求,乞讨
begin 开始,着手
beginning 开始,开端
behave 举动,举止运转
behavio(u)r 举止,行为
behind 在后,向后
being 生物,人
belief 相信,信心
believe 相信
bell 钟,铃
belong 属于,附属
below 在下面,向下
belt 带,皮带
bench 长凳
bend 弯曲,弯曲处
beneath 在下边
benefit 利益,好处
beside 在……旁边
besides 除……之外
best 最好的
bet 打赌
better 较好的,更好的
between 在(两者)之间
beyond 远于超出
bible 圣经
bicycle(bike) 自行车
big 大的,巨大的
bill 账单
billion 十亿
bind 捆,绑
biology 生物学
bird 鸟,禽
birth 出生,分娩
birthday 生日
biscuit 饼干,点心
bit 一点,一些
bite 咬,叮
bitter 痛苦的,厉害的
black 黑的,黑色的
blackboard 黑板
blame 指责,责备,责怪
blank 空白的,穿着的
blanket 毛毯,毯子
blast 一阵,一股
bless 祝福保佑
blind 瞎的
block 大块阻塞,拦阻
blood 血,血液
blow 吹,充气
blue 蓝色
board 木板部门
boat 小船,艇
body 身体躯体
boil 沸腾,煮
bold 大胆的,勇敢的
bolt 螺栓
bomb 炸弹
bond 结合(物)公债,债券
bone 骨
book 书,书籍
boot 长统(靴)
border 边界,国界
bore 钻(孔),使厌烦
boring 乏味的,无聊的
born 出身于…的
borrow 借,借入
boss 老板,上司
both 两者,双方
bother 烦扰,打扰
bottle 瓶
bottom 基础,根基
boundary 分界线,边界
bow 鞠躬,点头
bowl 碗,钵
box 箱,盒拳击
boy 男孩
brain 脑脑力,智能
branch 枝分支支流
brand 商标
brass 黄铜
brave 勇敢的
bread 面包
breadth 宽度
break 打破,打断,破碎
breakfast 早餐
breath 气息,呼吸
breathe 呼吸
breed 繁殖品种,种类
brick 砖
bride 新娘
bridge 桥,桥梁
brief 简短的,简洁的
bright 明亮的,辉煌的
brilliant 光辉的,辉煌的
bring 带来,拿来
broad 宽的,广阔的
broadcast 广播
brother 兄弟
brow 眉,眉毛
brown 褐色,棕色
brush 刷子,毛刷
bubble 泡,水泡
bucket 水桶,吊桶
budget 预算(专项)经费
build 建造,建筑
building 建筑物,房屋
bullet 子弹
bunch 束,捆,串
bundle 束,捆,包
burden 担子,负担
burn 燃烧,烧伤,灼伤
burst 爆裂,炸破
bury 埋葬
bus 公共汽车
bush 灌木,灌木丛
business 商业
busy 忙的,繁忙的
but 但是,可是
butter 黄油
button 钮扣按钮(开关)
buy 购买,买卖
by 靠近被,由
cabbage 卷心菜
cabin 客舱,机舱
cable 电报缆,索
cafe 咖啡馆,小餐厅
cage 笼
cake 饼,糕,蛋糕
calculate 计算,打算
call 叫,喊
calm 静的,平静的
camel 骆驼
camera 照相机
camp 野营,阵营
campaign 战役,运动
campus (大学)校园
can aux.能,会
canal 运河,沟渠
cancel 取消
cancer 癌
candle 蜡烛
candy 糖果
cap 便帽,军帽
capable 有能力的
capacity 容量,容积
capital 首都,首府
captain 首领,队长
capture 捕获,俘获
car 车,汽车
carbon 碳
card 卡片
care 小心,谨慎
career 生涯,职业
careful 仔细的,小心的
careless 粗心的,疏忽的
cargo 船货货物
carpenter 木工,木匠
carpet 地毯
carriage 马车车厢
carry 运送,运载
cart 手推车
case 箱,盒,容器
cash 钱,现款
cassette 盒子
cast 投,扔,抛
castle 城堡
casual 冷淡的，非正式的
cat 猫
catch 捕捉赶上
cattle 车
cause 使产生,引起
cave 洞穴
cease 停止,中止
ceiling 天花板
celebrate 庆祝
cell 细胞电池
cement 水泥巩固,加强
cent 分(货币单位)
centigrade 摄氏温度计的
centimetre(-ter) 厘米
central 中心的,中央的
centre(-ter) 中心,中央
century 世纪,百年
ceremony 典礼,仪式
certain 某一,某种
certainly 一定,必定
certificate 证书,执照
chain 镣铐,连锁店
chair 椅子,主席
chairman 主席
chalk 粉笔
challenge 挑战
champion 胜利者,冠军
chance 机会,可能性
change 改变,变化
channel 海峡,频道
chapter 章,章节
character 性格,品质
characteristic 特性,特征
charge 索要控告,指控
chase 追逐
chat 聊天,闲聊
cheap 便宜的,低劣的
cheat 欺骗,作弊
check 检查,核对
cheek 面颊,脸
cheer 高兴喝彩,欢呼
cheerful 愉快的,高兴的
cheese 乳酪,干酪
chemical 化学的
chemist 化学家
chemistry 化学
cheque 支票,账单
chest 胸腔,胸膛
chew 咀嚼,咬
chicken 小鸡
chief 首领,领袖
child 小孩,儿童
childhood 童年
chill 寒冷,寒气
chimney 烟囱
chin 颏,下巴
China 中国瓷器
Chinese 中国的,中国人的
chocolate 巧克力
choice 选择,抉择
choose 选择,挑选
Christmas 圣诞节
church 教堂
cigarette 烟卷
cinema 电影院,影片
circle 圆,,集团
circumstance 情况,形势
citizen 公民
city 城市,都市
civil 公民的，市民的
claim 要求,主张
clap 拍手
clash 冲突
class 班级,年级
classical 古典的
classify 分类,分等级
classmate 同班同学
classroom 教室
clay 粘土,泥土
clean 清洁的,干净的
clear 清晰的,明白的
clerk 职员,办事员
clever 聪明的,机敏的
cliff 悬崖,峭壁
climate 气候
climb 攀登,爬
clinic 门市部,诊所
clock 钟
close 关,闭
cloth 布,织物,衣料
clothes 衣服
clothing 服装,衣着
cloud 云遮暗物
cloudy 多云的,阴天的
club 俱乐部棍棒
clue 线索,提示
coach 大客车教练指导,辅导
coal 煤,煤块
coarse 粗糙的,粗劣的
coast 海岸,海滨
coat 外套,皮毛,盖上
cock 公鸡龙头
code 准则,法规密码
coffee 咖啡
coin 硬币
cold 寒冷的
collar 衣领环状物
colleague 同事,同僚
collect 收集,搜集
collection 收藏(品)
college 学院
colo(u)r 颜色,彩色
column 圆柱列车员
comb 镜子梳
combination 结合,联合
combine (使)结合
come 来,来到
comfort 舒适,安逸
comfortable 舒适的
command 命令,指令
commander 司令员,指挥员
comment 注释,评论
commercial 商业的,贸易的
commission 委员会佣金
commit 交托给,提交
committee 委员会
common 普通的,平常的
communicate 传达,通讯
communication 通讯,传达,传送
communism 共产主义
communist 共产主义者
community 社区共同体
companion 同伴,共事者
company 连,连队
compare 比较,对比
comparison 比较,对比
compass 罗盘,指南针
compete 竞争比赛
competition 比赛,竞争
complain 抱怨,投诉
complete 完全的,圆满的
complex 复杂的
complicated 复杂的,难解的
compose 组成,构成
composition 作品,作文
compound 混合物,化合物
comprehension 理解(力)
computer 计算机,电脑
comrade 同志,同伴,,同事
concentrate 集中,专心
concept 概念,观念,思想
concern 涉及,关系到
concerning 关于
concert 音乐会,演奏会
conclude 结束,推断,断定
conclusion 结论,推论,总之
concrete 具体的,有形的
condition 状况,状态
conduct 行为,举动,品行
conductor （乐队的）指挥
conference 会议
confess 供认，承认
confidence 信心,自信
confident 确定的,自信的
confine 限制
confirm 证实,肯定
conflict 冲突,抵触,战斗
confuse 使混乱,混淆
congratulate 祝贺
congress (代表)大会
connect 连接,,联结
connection 连接,联结,关系
conquer 征服战胜,占领
conscious 意识到的,自觉的
consequence 结果,后果
consequently 因此,所以
consider 考虑,照顾
considerable 值得考虑的
consist 由……组成
constant 经常的,坚定的,恒量
construct 建造,构造
construction 建造,建筑,建设
consult 请教,查阅,查看
consume 消耗,消费
consumer 消费者,用户
contact 接触,联系
contain 包含,容纳
container 容器
content 满足的,愿意的
continent 大陆,陆地
continual 不断的，连续的
continue 继续,连续,延伸
continuous 连续的，持续的
contract 契约，缩小,缩短
contrary 相反的,矛盾的
contrast 使与……对比
contribute 贡献,有助于
control 控制,支配
convenience 便利,方便
convenient 便利的,方便的
conversation 会话,谈话
conversely 相反地
convert (使)转变
convey 表达,传达,传递
convince 使确信,使信服
cook 厨师烹调
cool 凉的,凉快的
cooperate 合作,协作,配合
cooperation 合作,协作
copper 铜
copy 抄本,副本,复制品
core 中心,核心
corn 人物
corner 角,(街道)拐角
correct 正确的恰当的
correspond 通信
cost 价值为,花费
costly 昂贵的
cottage 村舍,小屋
cotton 棉花
cough 咳嗽
could 能,可以
council 理事会,委员会
count 数,计数
counter 柜台
country 国家,农村
countryside 乡下,农村
county (美国的)县
couple 夫妇连接,结合
courage 勇气,胆量
course 亲和,教程
court 法院,法官
cousin 堂(表)兄弟
cover 覆盖,遮蔽
cow 母牛,奶牛
crack 裂缝,破裂声,爆炸声
crash 碰撞,坠落,坠毁
crawl 爬行,蠕动
crazy 疯狂的,古怪的
cream 乳脂,(鲜)奶油
create 创造,引起,造成
creature 生物
credit 赞扬,荣誉,功劳
crew 全体乘务员
crime 罪行,犯罪
criminal 罪犯,犯人
critical 批评的,评论的
criticism 批评,批判
crop 作物,庄稼
cross 越过,穿过
crowd 人群,群集
crown 王冠,冕
crude 天然的,粗鲁的,生的
cruel 残忍的,残酷的
cry 哭,流泪
crystal 结晶,晶体
cube 立方形
cultivate 耕,耕作
culture 文化,文明
cup 杯子
cupboard 碗碟橱
cure 治愈,痊愈
curiosity 好奇心
curious 好奇的
currency 通货,货币
current 电流,水流,气流
curtain 窗帘,门帘
curse 咒骂,诅咒
curve 曲线
custom 习惯,风俗
customer 顾客,主顾
cut 切,割,剪,吹
cycle 自行车周期,循环
daily 每日的
dam 水坝,水闸
damage 损害,毁坏
damp 潮湿的,微湿的
dance 跳舞
danger 危险,威胁
dangerous 危险的
dare aux.敢,竟敢
dark 黑暗的
darling 心爱的人
dash 猛冲,突进
data 数据,资料
date 日期,日子
daughter 女儿
dawn 黎明,拂晓
day 白昼,白天
daylight 日光,白昼
dead 死的，无感觉的
deaf 聋的
deal 给予,交易
dear 亲爱的
death 死亡
debt 债,债务,欠款
decade 十年,十年期
December 十二月
decide 决定,决心
decision 决定,决心
deck 甲板
declare 断言,宣称
decorate 装饰,装潢
decrease 减少,减小
deed 行为,行动
deep 深切的,深厚的
deer 鹿
defeat 击败,击败
defence(-se) 防御,保卫
defend 防守,保卫
define 限定,规定
definite 明确的,肯定的
degree 度,度数
delay 耽搁,延迟
delicate 精巧的,精致的
delicious 美味的
delight 快乐,高兴
deliver 递,送
delivery 投递,传送
demand 要求,请求
democracy 民主
demonstrate 论证，证实
dense 密集的，稠密的
department 部门,学部
depend 取决于依靠,依赖
dependent 依靠的,依赖的
deposit 储蓄
depth 深,深奥,深刻
describe 描写,记述,形容
description 描写,记述,形容
desert 沙漠,不毛之地
deserve 应收,值得,应得
design 设计,构思,绘制
desirable 称心的,期望得到的
desire 欲望,期望,希望
desk 书桌,,办公桌
despair 绝望
despite 不管,尽管
destroy 破坏,毁坏
detail 细节,详情
detect 觉察,发觉
determination 决心
determine 决定,决心
develop 发展,开发,研制
development 生长,成长,进化
devil 魔鬼,恶棍
devise 设计,发明
devote 把……奉献给
diagram 图解,图表
dial 拨电话,刻度盘
dialog(ue) 对话
diameter 直径
diamond 金刚石,钻石
diary 日记,日记簿
dictation 听写,口述
dictionary 词典,字典
die 死
differ 不同,相异
difference 差异,差别
different 差异的,不同的各种的
difficult 困难的,艰难的
difficulty 困难,艰难
dig 掘,挖
digest 消化吸收,领悟
dim 不明亮的,暗淡的
dimension 尺寸,尺度
dinner 正餐
dip 浸,蘸
direct 直接的,指导,指挥
direction 方向,方位
directly 马上,立即
director 指导者,导演
dirt 污物,污垢
dirty 脏的,肮脏的
disadvantage 不利,缺点
disagrees 意见不同
disappear 不见,消失
disappoint 使失望,使受挫折
discharge 卸(货)，流出
discipline 纪律学科
discourage 使泄气,使沮丧
discover 发现
discovery 发现
discuss 讨论,商议
disease 病,疾病,病害
disgust 厌恶,使厌恶
dish 盘,碟
dislike 不喜爱,讨厌
dismiss 解雇,开除
disorder 杂乱,凌乱
display 陈列，展览
dissolve 溶解,融化
distance 距离,间隔
distinct 清楚的,明显的
distinguish 区别,识别
distribute 分发,分配
district 地区,区域
disturb 弄乱,打乱
ditch 沟,沟渠
dive 潜水,跳水,下潜
divide 分开,隔开
division 部分,部门)
divorce 离婚,分离
do 做,干
doctor 医生
document 公文,文件
dog 狗
dollar 元(货币单位）
domestic 家里的，国内的
donkey 驴
door 家，户
dot 点，圆点
double 双的,加倍
doubt 怀疑,疑问
doubtful 怀疑的,可疑的
down 向下,在下面
downstairs 在楼下,往楼下
downtown 商业区的
dozen (一)打,十二个
draft 草稿,草案,草图
drag 拖,拖曳
drain 排水沟,消耗,负担
dramatic 戏剧的,剧本的
draw 拉,曳,绘制,汲取
drawer 抽屉
drawing 绘图,图画,图样
dream 做梦,梦见
dress 女服,童装
drift 漂流
drill 操练
drink 饮,喝
drive 开(车),驾驶
driver 驾驶员,司机
drop 滴下,落下
drown 溺死,淹死
drug 药物,药材
drum 鼓圆桶
dry 干的,干燥的
duck 鸭
due 应支付的
dull 单调的,枯燥的
dumb 哑的,沉默的
during 在……期间
dusk 黄昏
dust 灰尘
duty 义务,值班
dye 染料
each 各,各自的
eager 渴望的,热切的
eagle 鹰
ear 耳朵
early 早,在初期
earn 赚,挣得
earth 地球,泥,陆地
earthquake 地震
ease 减轻,使舒适
easily 容易地,不费力地
east 东,东方,东部
eastern 东方的,东部的
easy 容易的,不费力的
eat 吃饭
echo 回声,反响
economic 经济学的
economical 节约的
economy 节约
edge 边缘
edition 版,版本
editor 编辑,编者
educate 训练,培养
education 教育,培养
effect 作用,影响
effective 效果,效力
efficiency 效率
efficient 有效率的
effort 努力,艰难的尝试
egg 蛋
eight 八,八个
eighteen 十八,十八个
eighth 第八
eighty 八十,八十个
either 任何一的
elder 年长的
elect 选举,推选
election 作出选举
electric 选举
electrical 电的,导电的
electricity 电的,电
electronic 电子的
element 元素,成分
elementary 基本的,基础的
elephant 象
elevator 电梯,升降机
eleven 十一,十一个
else 其他的,别的
elsewhere 在别处,向别处
email 电子邮件
emergency 紧急情况
emotion 情绪,情感
emphasis 强调,重点
emphasize(ise) 强调,着重
employ 雇用,使用
employment 雇工,雇员
empty 空洞的,空虚的
enable 使能够
enclose 围住,圈起
encourage 鼓励,怂恿
end 末端，尽头
endure 忍受,忍耐
enemy 敌人,敌军
energy 活力,精力
engage 从事于,雇用
engine 发现
engineer 工程师,技师
English 英格兰的,英国的
enjoy 欣赏,喜爱
enormous 巨大的,庞大的
enough 足够的,充足的
enter 进入加入,参加
entertain 招待,款待使欢乐,使娱乐
enthusiasm 热情,热心
entire 全部的,完整的
entrance 进入入口
entry 进口,入口
envelope 包裹物,封皮
environment 环境,外界
envy 羡慕,忌妒
equal 相等的,均等的
equip 装备,配备
equipment 设备,器材,装置
era 时代,纪元
erect 树立,建立
